Funisciurus congicus,no,Funisciurus congicus
Funisciurus isabella,no,Funisciurus isabella
Funisciurus lemniscatus,no,Funisciurus lemniscatus
Funisciurus leucogenys,no,Funisciurus leucogenys
Funisciurus pyrropus,no,Funisciurus pyrropus
Funisciurus substriatus,no,Funisciurus substriatus
Gerbillus henleyi,no,Gerbillus henleyi
Gerbillus hesperinus,no,Gerbillus hesperinus
Gerbillus hoogstraali,no,Gerbillus hoogstraali
Gerbillus latastei,no,Gerbillus latastei
Gerbillus mesopotamiae,no,Gerbillus mesopotamiae
Gerbillus muriculus,no,Gerbillus muriculus
Gerbillus nancillus,no,Gerbillus nancillus
Gerbillus nanus,no,Gerbillus nanus
Gerbillus nigeriae,no,Gerbillus nigeriae
Gerbillus occiduus,no,Gerbillus occiduus
Gerbillus perpallidus,no,Gerbillus perpallidus
Gerbillus poecilops,no,Gerbillus poecilops
Gerbillus principulus,no,Gerbillus principulus
Gerbillus pulvinatus,no,Gerbillus pulvinatus
Gerbillus pusillus,no,Gerbillus pusillus
Gerbillus pyramidum,no,Gerbillus pyramidum
Gerbillus rosalinda,no,Gerbillus rosalinda
Gerbillus tarabuli,no,Gerbillus tarabuli
Gerbillus watersi,no,Gerbillus watersi
Glaucomys sabrinus,no,Glaucomys sabrinus
Glaucomys volans,no,Glaucomys volans
Glirulus japonicus,no,Glirulus japonicus
Glis glis,no,Glis glis
Glyphotes simus,no,Glyphotes simus
Golunda ellioti,no,Golunda ellioti
Grammomys gigas,no,Grammomys gigas
Grammomys ibeanus,no,Grammomys ibeanus
Grammomys kuru,no,Grammomys kuru
Grammomys macmillani,no,Grammomys macmillani
Grammomys minnae,no,Grammomys minnae
Graomys domorum,no,Graomys domorum
Graomys edithae,no,Graomys edithae
Graomys griseoflavus,no,Graomys griseoflavus
Graphiurus angolensis,no,Graphiurus angolensis
Graphiurus christyi,no,Graphiurus christyi
Graphiurus crassicaudatus,no,Graphiurus crassicaudatus
Graphiurus johnstoni,no,Graphiurus johnstoni
Graphiurus kelleni,no,Graphiurus kelleni
Graphiurus lorraineus,no,Graphiurus lorraineus
Graphiurus microtis,no,Graphiurus microtis
Graphiurus monardi,no,Graphiurus monardi
Graphiurus murinus,no,Graphiurus murinus
Graphiurus nagtglasii,no,Graphiurus nagtglasii
Grammomys aridulus,no,Grammomys aridulus
Grammomys buntingi,no,Grammomys buntingi
Grammomys caniceps,no,Grammomys caniceps
Grammomys cometes,no,Grammomys cometes
Grammomys dolichurus,no,Grammomys dolichurus
Isthmomys flavidus,no,Isthmomys flavidus
Isthmomys pirrensis,no,Isthmomys pirrensis
Jaculus blanfordi,no,Jaculus blanfordi
Jaculus jaculus,no,Jaculus jaculus
Jaculus orientalis,no,Jaculus orientalis
Juliomys pictipes,no,Juliomys pictipes
Juliomys rimofrons,no,Juliomys rimofrons
Juscelinomys huanchacae,no,Juscelinomys huanchacae
Kadarsanomys sodyi,no,Kadarsanomys sodyi
Kannabateomys amblyonyx,no,Kannabateomys amblyonyx
Grammomys dryas,no,Grammomys dryas
Heliosciurus gambianus,no,Heliosciurus gambianus
Heliosciurus mutabilis,no,Heliosciurus mutabilis
Heliosciurus punctatus,no,Heliosciurus punctatus
Heliosciurus rufobrachium,no,Heliosciurus rufobrachium
Heliosciurus ruwenzorii,no,Heliosciurus ruwenzorii
Heliosciurus undulatus,no,Heliosciurus undulatus
Hodomys alleni,no,Hodomys alleni
Holochilus brasiliensis,no,Holochilus brasiliensis
Holochilus chacarius,no,Holochilus chacarius
Holochilus sciureus,no,Holochilus sciureus
Hoplomys gymnurus,no,Hoplomys gymnurus
Hybomys badius,no,Hybomys badius
Hybomys basilii,no,Hybomys basilii
Hybomys lunaris,no,Hybomys lunaris
Hybomys planifrons,no,Hybomys planifrons
Hybomys trivirgatus,no,Hybomys trivirgatus
Hybomys univittatus,no,Hybomys univittatus
Hydrochoerus hydrochaeris,no,Hydrochoerus hydrochaeris
Hydrochoerus isthmius,no,Hydrochoerus isthmius
Hydromys chrysogaster,no,Hydromys chrysogaster
Hydromys hussoni,no,Hydromys hussoni
Hydromys neobritannicus,no,Hydromys neobritannicus
Heteromys gaumeri,no,Heteromys gaumeri
Heteromys nelsoni,no,Heteromys nelsoni
Heteromys oasicus,no,Heteromys oasicus
Heteromys oresterus,no,Heteromys oresterus
Heteromys teleus,no,Heteromys teleus
Lariscus hosei,no,Lariscus hosei
Lariscus insignis,no,Lariscus insignis
Lariscus niobe,no,Lariscus niobe
Lariscus obscurus,no,Lariscus obscurus
Leggadina forresti,no,Leggadina forresti
Leggadina lakedownensis,no,Leggadina lakedownensis
Leimacomys buettneri,no,Leimacomys buettneri
Lemmiscus curtatus,no,Lemmiscus curtatus
Margaretamys elegans,no,Margaretamys elegans
Margaretamys parvus,no,Margaretamys parvus
Hylomyscus aeta,no,Hylomyscus aeta
Hylomyscus alleni,no,Hylomyscus alleni
Hylomyscus baeri,no,Hylomyscus baeri
Hylomyscus carillus,no,Hylomyscus carillus
Hylomyscus denniae,no,Hylomyscus denniae
Hylomyscus grandis,no,Hylomyscus grandis
Hylomyscus parvus,no,Hylomyscus parvus
Hylomyscus stella,no,Hylomyscus stella
Hylopetes alboniger,no,Hylopetes alboniger
Hylopetes bartelsi,no,Hylopetes bartelsi
Hylopetes nigripes,no,Hylopetes nigripes
Hylopetes phayrei,no,Hylopetes phayrei
Hylopetes platyurus,no,Hylopetes platyurus
Hylopetes sipora,no,Hylopetes sipora
Hylopetes spadiceus,no,Hylopetes spadiceus
Hylopetes winstoni,no,Hylopetes winstoni
Hyomys dammermani,no,Hyomys dammermani
Hyomys goliath,no,Hyomys goliath
Hyosciurus heinrichi,no,Hyosciurus heinrichi
Hyosciurus ileile,no,Hyosciurus ileile
Hyperacrius fertilis,no,Hyperacrius fertilis
